"jahr","n_tage","n_bewertbar","fog_anteil","abdeckung","belastbar","station"
1987,206,193,0.196891191709845,0.936893203883495,TRUE,"Bellavista"
1988,366,339,0.224188790560472,0.926229508196721,TRUE,"Bellavista"
1989,365,335,0.244776119402985,0.917808219178082,TRUE,"Bellavista"
1990,365,351,0.196581196581197,0.961643835616438,TRUE,"Bellavista"
1991,365,357,0.151260504201681,0.978082191780822,TRUE,"Bellavista"
1992,366,361,0.199445983379501,0.986338797814208,TRUE,"Bellavista"
1993,365,360,0.144444444444444,0.986301369863014,TRUE,"Bellavista"
1994,365,349,0.189111747851003,0.956164383561644,TRUE,"Bellavista"
1995,365,336,0.178571428571429,0.920547945205479,TRUE,"Bellavista"
1996,366,352,0.230113636363636,0.961748633879781,TRUE,"Bellavista"
1997,365,354,0.26271186440678,0.96986301369863,TRUE,"Bellavista"
1998,365,343,0.227405247813411,0.93972602739726,TRUE,"Bellavista"
1999,365,327,0.296636085626911,0.895890410958904,TRUE,"Bellavista"
2000,366,346,0.303468208092486,0.945355191256831,TRUE,"Bellavista"
2001,365,350,0.402857142857143,0.958904109589041,TRUE,"Bellavista"
2002,365,364,0.332417582417582,0.997260273972603,TRUE,"Bellavista"
2003,365,363,0.28099173553719,0.994520547945206,TRUE,"Bellavista"
2004,366,362,0.218232044198895,0.989071038251366,TRUE,"Bellavista"
2005,365,361,0.0110803324099723,0.989041095890411,TRUE,"Bellavista"
2006,365,365,0.0328767123287671,1,TRUE,"Bellavista"
2007,365,358,0.0642458100558659,0.980821917808219,TRUE,"Bellavista"
2008,366,364,0.101648351648352,0.994535519125683,TRUE,"Bellavista"
2009,365,362,0.165745856353591,0.991780821917808,TRUE,"Bellavista"
2010,365,362,0.160220994475138,0.991780821917808,TRUE,"Bellavista"
2011,365,332,0.180722891566265,0.90958904109589,TRUE,"Bellavista"
2012,366,355,0.31830985915493,0.969945355191257,TRUE,"Bellavista"
2013,365,364,0.348901098901099,0.997260273972603,TRUE,"Bellavista"
2014,365,57,0.280701754385965,0.156164383561644,FALSE,"Bellavista"
2015,365,71,0.253521126760563,0.194520547945205,FALSE,"Bellavista"
2016,366,207,0.202898550724638,0.565573770491803,FALSE,"Bellavista"
2017,365,341,0.375366568914956,0.934246575342466,TRUE,"Bellavista"
2018,365,345,0.257971014492754,0.945205479452055,TRUE,"Bellavista"
2019,259,243,0.251028806584362,0.938223938223938,TRUE,"Bellavista"
1964,1,1,0,1,TRUE,"Puerto Ayora"
1965,365,350,0,0.958904109589041,TRUE,"Puerto Ayora"
1966,365,342,0,0.936986301369863,TRUE,"Puerto Ayora"
1967,365,360,0.0166666666666667,0.986301369863014,TRUE,"Puerto Ayora"
1968,366,345,0.00289855072463768,0.942622950819672,TRUE,"Puerto Ayora"
1969,365,341,0,0.934246575342466,TRUE,"Puerto Ayora"
1970,365,326,0.0214723926380368,0.893150684931507,TRUE,"Puerto Ayora"
1971,365,297,0.0202020202020202,0.813698630136986,TRUE,"Puerto Ayora"
1972,366,352,0.00568181818181818,0.961748633879781,TRUE,"Puerto Ayora"
1973,365,281,0,0.76986301369863,FALSE,"Puerto Ayora"
1974,365,314,0.0159235668789809,0.86027397260274,TRUE,"Puerto Ayora"
1975,365,286,0.013986013986014,0.783561643835616,FALSE,"Puerto Ayora"
1976,366,292,0.0136986301369863,0.797814207650273,FALSE,"Puerto Ayora"
1977,365,308,0.126623376623377,0.843835616438356,TRUE,"Puerto Ayora"
1978,365,281,0.0640569395017794,0.76986301369863,FALSE,"Puerto Ayora"
1979,365,258,0.0736434108527132,0.706849315068493,FALSE,"Puerto Ayora"
1980,366,235,0.0297872340425532,0.64207650273224,FALSE,"Puerto Ayora"
1981,365,292,0.116438356164384,0.8,TRUE,"Puerto Ayora"
1982,365,359,0.00557103064066852,0.983561643835616,TRUE,"Puerto Ayora"
1983,365,365,0.0191780821917808,1,TRUE,"Puerto Ayora"
1984,366,365,0.0273972602739726,0.997267759562842,TRUE,"Puerto Ayora"
1985,365,363,0.0413223140495868,0.994520547945206,TRUE,"Puerto Ayora"
1986,365,365,0.0273972602739726,1,TRUE,"Puerto Ayora"
1987,365,365,0.0273972602739726,1,TRUE,"Puerto Ayora"
1988,366,366,0.0191256830601093,1,TRUE,"Puerto Ayora"
1989,365,364,0.0164835164835165,0.997260273972603,TRUE,"Puerto Ayora"
1990,365,365,0.0219178082191781,1,TRUE,"Puerto Ayora"
1991,365,362,0.0138121546961326,0.991780821917808,TRUE,"Puerto Ayora"
1992,366,364,0.0576923076923077,0.994535519125683,TRUE,"Puerto Ayora"
1993,365,324,0.0709876543209877,0.887671232876712,TRUE,"Puerto Ayora"
1994,365,356,0.132022471910112,0.975342465753425,TRUE,"Puerto Ayora"
1995,365,357,0.168067226890756,0.978082191780822,TRUE,"Puerto Ayora"
1996,366,358,0.212290502793296,0.978142076502732,TRUE,"Puerto Ayora"
1997,365,360,0.0638888888888889,0.986301369863014,TRUE,"Puerto Ayora"
1998,365,364,0.164835164835165,0.997260273972603,TRUE,"Puerto Ayora"
1999,365,357,0.165266106442577,0.978082191780822,TRUE,"Puerto Ayora"
2000,366,364,0.200549450549451,0.994535519125683,TRUE,"Puerto Ayora"
2001,365,360,0.211111111111111,0.986301369863014,TRUE,"Puerto Ayora"
2002,365,365,0.0904109589041096,1,TRUE,"Puerto Ayora"
2003,365,365,0.0575342465753425,1,TRUE,"Puerto Ayora"
2004,366,336,0.0595238095238095,0.918032786885246,TRUE,"Puerto Ayora"
2005,365,364,0.0192307692307692,0.997260273972603,TRUE,"Puerto Ayora"
2006,365,365,0.0191780821917808,1,TRUE,"Puerto Ayora"
2007,365,364,0.0549450549450549,0.997260273972603,TRUE,"Puerto Ayora"
2008,366,364,0.00824175824175824,0.994535519125683,TRUE,"Puerto Ayora"
2009,365,363,0.0303030303030303,0.994520547945206,TRUE,"Puerto Ayora"
2010,365,364,0.137362637362637,0.997260273972603,TRUE,"Puerto Ayora"
2011,365,364,0.0576923076923077,0.997260273972603,TRUE,"Puerto Ayora"
2012,366,366,0.0327868852459016,1,TRUE,"Puerto Ayora"
2013,365,365,0.0246575342465753,1,TRUE,"Puerto Ayora"
2014,365,363,0.068870523415978,0.994520547945206,TRUE,"Puerto Ayora"
2015,365,362,0.0441988950276243,0.991780821917808,TRUE,"Puerto Ayora"
2016,366,341,0.0997067448680352,0.931693989071038,TRUE,"Puerto Ayora"
2017,365,363,0.283746556473829,0.994520547945206,TRUE,"Puerto Ayora"
2018,365,360,0.133333333333333,0.986301369863014,TRUE,"Puerto Ayora"
2019,365,365,0.0876712328767123,1,TRUE,"Puerto Ayora"
2020,347,344,0.156976744186047,0.99135446685879,TRUE,"Puerto Ayora"
2021,365,362,0.0607734806629834,0.991780821917808,TRUE,"Puerto Ayora"
2022,365,362,0.220994475138122,0.991780821917808,TRUE,"Puerto Ayora"
