"klasse","band","ha"
"Coastal Humid Forest and Shrubland","0-100 m",442.559896946169
"Deciduous Forest","0-100 m",31372.3740789066
"Deciduous Shrubland","0-100 m",7901.29007665024
"Deciduous tallgrass","0-100 m",2905.44918577604
"Evergreen Forest and Shrubland","0-100 m",427.650015707302
"Evergreen Seasonal Forest","0-100 m",3588.82583754918
"Mangroves","0-100 m",113.491417108659
"Old Lava","0-100 m",208.562152602985
"Recent Lava","0-100 m",17.6650276820073
"Urban Settings","0-100 m",201.525707674742
"Water Bodies","0-100 m",7.78750562493599
"Agricultural Lands","100-200 m",1793.61323974149
"Deciduous Forest","100-200 m",13835.4145343078
"Deciduous Shrubland","100-200 m",677.061156693545
"Deciduous tallgrass","100-200 m",47.6763297774227
"Evergreen Forest and Shrubland","100-200 m",1531.30394263706
"Evergreen Seasonal Forest","100-200 m",4641.69968680346
"Invasive Species","100-200 m",876.578433588591
"Urban Settings","100-200 m",9.11713501997427
"Water Bodies","100-200 m",0.284913091365015
"Agricultural Lands","200-300 m",3336.42276326644
"Deciduous Forest","200-300 m",6372.55884428899
"Deciduous Shrubland","200-300 m",0.569836565006524
"Deciduous tallgrass","200-300 m",4.65366561915472
"Evergreen Forest and Shrubland","200-300 m",176.931413537228
"Evergreen Seasonal Forest","200-300 m",1368.73008887376
"Invasive Species","200-300 m",595.753948577894
"Old Lava","200-300 m",0.284918264524103
"Agricultural Lands","300-400 m",2778.57304206531
"Deciduous Forest","300-400 m",3630.60346825289
"Deciduous Shrubland","300-400 m",0.0949726083183661
"Deciduous tallgrass","300-400 m",0.759780898502143
"Evergreen Forest and Shrubland","300-400 m",171.993698889123
"Evergreen Seasonal Forest","300-400 m",845.535202390586
"Invasive Species","300-400 m",99.910168502514
"Agricultural Lands","400-500 m",2394.79941963531
"Deciduous Forest","400-500 m",1785.19243962975
"Evergreen Forest and Shrubland","400-500 m",135.524729785133
"Evergreen Seasonal Forest","400-500 m",548.748091081845
"Invasive Species","400-500 m",34.5697459038551
"Agricultural Lands","500-600 m",983.524649069733
"Deciduous Forest","500-600 m",454.726215266282
"Deciduous Shrubland","500-600 m",1.04469251541253
"Deciduous tallgrass","500-600 m",5.88826804192872
"Evergreen Forest and Shrubland","500-600 m",838.314225188483
"Evergreen Seasonal Forest","500-600 m",444.658769514327
"Invasive Species","500-600 m",259.177665692399
"Old Lava","500-600 m",0.854748426102428
"Agricultural Lands","600-700 m",40.6478388909062
"Deciduous Forest","600-700 m",0.664804249861697
"Evergreen Forest and Shrubland","600-700 m",1237.86030446494
"Evergreen Seasonal Forest","600-700 m",90.2232905953416
"Humid Tallgrass","600-700 m",67.5248529788008
"Invasive Species","600-700 m",701.271137364436
"Evergreen Forest and Shrubland","700-900 m",184.14988782548
"Humid Tallgrass","700-900 m",47.5807868404362
"Invasive Species","700-900 m",196.306231022514
